,x_in,y_in,change,x_fin
46969,-240,180,1,-140
46973,-240,60,1,-20
46977,-240,-40,1,80
46981,-240,40,1,0
46985,-240,280,1,-240
46989,-240,-40,1,80
46993,-240,180,1,-140
46997,-240,240,1,-200
47001,-240,-80,1,120
47005,-240,280,1,-240
47009,-240,-60,1,100
47013,-240,0,1,40
47017,-240,40,1,0
47021,-240,240,1,-200
47025,-240,0,1,40
47029,-240,280,1,-240
47033,-240,120,1,-80
47037,-240,-40,1,80
47041,-240,-120,1,160
47045,-240,-140,1,180
47049,-240,0,1,40
47053,240,-180,2,-220
47057,240,200,2,160
47061,240,-20,2,-60
47065,240,140,2,100
47069,240,-140,2,-180
47073,240,140,2,100
47077,240,-160,2,-200
47081,240,-100,2,-140
47085,240,120,2,80
47089,240,200,2,160
47093,240,-20,2,-60
47097,240,-120,2,-160
47101,240,60,2,20
47105,240,-20,2,-60
47109,240,-140,2,-180
47113,240,20,2,-20
47117,240,40,2,0
47121,240,-140,2,-180
47125,240,100,2,60
47129,240,80,2,40
47133,240,120,2,80
47137,240,140,2,100
47141,-240,-180,1,220
47145,-240,60,1,-20
47149,-240,-140,1,180
47153,-240,220,1,-180
47157,-240,160,1,-120
47161,-240,-60,1,100
47165,-240,80,1,-40
47169,-240,-140,1,180
47173,-240,-60,1,100
47177,-240,-40,1,80
47181,-240,-140,1,180
47185,-240,180,1,-140
47189,-240,140,1,-100
47193,-240,120,1,-80
47197,-240,260,1,-220
47201,-240,20,1,20
47205,-240,0,1,40
47209,-240,20,1,20
47213,-240,-140,1,180
47217,-240,160,1,-120
47221,-240,80,1,-40
47225,-240,240,1,-200
47229,-240,-120,1,160
47233,-240,200,1,-160
47237,-240,-80,1,120
47241,-240,0,1,40
47245,-240,-140,1,180
47249,240,-180,2,-220
47253,240,-140,2,-180
47257,240,-140,2,-180
47261,240,-40,2,-80
47265,240,-20,2,-60
47269,240,0,2,-40
47273,240,120,2,80
47277,240,0,2,-40
47281,240,20,2,-20
47285,-240,-180,1,220
47289,-240,180,1,-140
47293,-240,-40,1,80
47297,-240,20,1,20
47301,-240,-140,1,180
47305,-240,-120,1,160
47309,-240,-120,1,160
47313,-240,-80,1,120
47317,-240,100,1,-60
47321,-240,-160,1,200
47325,-240,20,1,20
47329,-240,-100,1,140
47333,-240,-160,1,200
47337,-240,280,1,-240
47341,-240,60,1,-20
47345,-240,-160,1,200
47349,-240,180,1,-140
47353,-240,120,1,-80
